MONUMENT_ID,Name,Item Category,URI,Citation_URI,Thumbnail,Longitude,Latitude,City _ID,Excavation_ID
154,Sabil-kuttab of Abu al-Iqbal ‘Arifin Bey,Image media,http://opencontext.org/media/7a71bb69-a0e8-4d3d-a2d8-24bfa61dca32,https://n2t.net/ark:/28722/k29c7bn9v,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.042.jpg,31.26229,30.04394,2,2
155,Fakahani Mosque,Image media,http://opencontext.org/media/ba57dfbf-9d75-463c-8bc9-d06c8c35a3c2,https://n2t.net/ark:/28722/k2sx6px8k,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.162.jpg,31.25909,30.04432,2,2
156,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/f15929b2-e69b-4af6-90dd-626f51c891b3,https://n2t.net/ark:/28722/k2377rg9b,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.141.jpg,31.2565,30.04307,2,2
157,Fakahani Mosque,Image media,http://opencontext.org/media/e6fea776-c79c-4efa-a301-c2a0debe3cd7,https://n2t.net/ark:/28722/k2cz3ms7z,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.004.jpg,31.25909,30.04432,2,2
158,Fakahani Mosque,Image media,http://opencontext.org/media/b19fe8c1-dea4-4135-8bc7-36925912315b,https://n2t.net/ark:/28722/k2m90mq81,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.145.jpg,31.25909,30.04432,2,2
159,Mosque of Muhammad Bey Abu al-Dhahab,Image media,http://opencontext.org/media/731f2956-d334-42fa-9fd3-c4cf234db57a,https://n2t.net/ark:/28722/k2611fd4w,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.134.jpg,31.26184,30.04599,2,2
160,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/f8212595-40b1-40db-9659-5863a860e9b8,https://n2t.net/ark:/28722/k2t72t37w,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.015.jpg,31.2565,30.04307,2,2
161,Sabil-kuttab of Abu al-Iqbal ‘Arifin Bey,Image media,http://opencontext.org/media/7f03b675-d853-4afa-9be5-950b696595ca,https://n2t.net/ark:/28722/k25m6mv66,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.041.jpg,31.26229,30.04394,2,2
162,Fakahani Mosque,Image media,http://opencontext.org/media/83648792-cc4d-413f-b71a-c8d01d92d958,https://n2t.net/ark:/28722/k22f84d0s,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.164.jpg,31.25909,30.04432,2,2
163,Fakahani Mosque,Image media,http://opencontext.org/media/49defa24-2cc0-45d1-9a5e-84331ac39691,https://n2t.net/ark:/28722/k2862x022,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.003.jpg,31.25909,30.04432,2,2
